latitude,longitude,label,data_source,elevation_m,slope_deg,historical_incidents_5yr
25.3098633,94.48214677,1,NASA_COOLR,1547.0,20.524495953194126,2
25.7658,93.9413,1,NASA_COOLR,838.0,32.400577110047564,5
25.7131,94.0885,1,NASA_COOLR,1410.0,18.267526748831447,19
24.1419,94.1078,1,NASA_COOLR,1148.0,18.713976452042584,2
25.616,94.1167,1,NASA_COOLR,1592.0,19.1575103387227,21
25.4769,94.1351,1,NASA_COOLR,1676.0,17.71953234112954,16
25.5215,93.1645,1,NASA_COOLR,280.0,2.062698449428527,1
25.8833,91.2,1,NASA_COOLR,256.0,10.100330099308914,0
25.3179,94.0462,1,NASA_COOLR,997.0,9.338855429722836,8
24.75,93.4333,1,NASA_COOLR,472.0,27.41371253714203,7
25.0985,94.3619,1,NASA_COOLR,1899.0,0.817204975101472,4
27.6163,88.6586,1,NASA_COOLR,4426.0,21.079780170535273,0
25.5728,91.885,1,NASA_COOLR,1510.0,1.7476512695555169,3
26.7223,95.0243,1,NASA_COOLR,691.0,3.0242751163135715,3
24.7625,93.4341,1,NASA_COOLR,660.0,18.98594518217311,8
27.0987,93.816,1,NASA_COOLR,227.0,5.46116334550639,6
25.1553,93.028,1,NASA_COOLR,591.0,17.46355331928209,3
22.533,92.899,1,NASA_COOLR,820.0,7.040104319833937,1
25.1175,92.8573,1,NASA_COOLR,156.0,5.390049108092935,4
27.1761,88.5287,1,NASA_COOLR,2672.0,33.28624172676334,4
23.591,92.9296,1,NASA_COOLR,806.0,18.398355194373195,0
27.3383,88.6069,1,NASA_COOLR,2496.0,35.83758323990822,12
24.9829,93.5063,1,NASA_COOLR,1322.0,16.582078149850766,8
25.5125,93.3613,1,NASA_COOLR,323.0,7.683310051851468,0
25.31006064,94.48265093,1,NASA_COOLR,1547.0,20.524495953194126,2
24.9925,93.5,1,NASA_COOLR,1221.0,2.0893918428352714,8
28.9205,95.3429,1,NASA_COOLR,4066.0,9.253125902508993,0
27.6438,93.871,1,NASA_COOLR,1689.0,23.85781895805753,0
24.8286,93.5935,1,NASA_COOLR,711.0,27.8410351908953,6
27.2298,94.0989,1,NASA_COOLR,95.0,0.1986852641425401,2
25.9703,91.8584,1,NASA_COOLR,283.0,7.036652891503098,5
25.5145,90.2023,1,NASA_COOLR,313.0,2.928084729090411,5
25.38,91.88,1,NASA_COOLR,1303.0,29.567542534178504,0
26.1548,91.7351,1,NASA_COOLR,57.0,0.486205320089629,33
22.479,92.967,1,NASA_COOLR,468.0,14.607001258745285,1
27.8965,96.1779,1,NASA_COOLR,204.0,0.541642741902787,1
25.6682,94.1099,1,NASA_COOLR,1432.0,4.745343622843934,17
24.004,93.9815,1,NASA_COOLR,1449.0,20.414451563967628,2
25.5242,92.9914,1,NASA_COOLR,152.0,1.127620126504282,0
24.6869,93.9157,1,NASA_COOLR,780.0,0.27623834592374014,4
27.9032,96.174,1,NASA_COOLR,208.0,0.4008391957273153,1
25.4191,94.1079,1,NASA_COOLR,1400.0,6.224237792611209,15
26.8716,94.9921,1,NASA_COOLR,280.0,8.291732675627445,1
26.09748244,91.8744337,1,NASA_COOLR,178.0,17.007163898898696,27
27.4,92.35,1,NASA_COOLR,2622.0,18.057473832197623,1
27.3702,88.7334,1,NASA_COOLR,3266.0,28.109694559040825,12
24.3527,94.3429,1,NASA_COOLR,299.0,9.67367806534021,0
26.0977,94.7499,1,NASA_COOLR,1553.0,9.75605930795853,4
27.3341,88.6083,1,NASA_COOLR,2345.0,30.474537658573453,12
26.0319,94.5466,1,NASA_COOLR,1538.0,29.609802518381155,10
27.1249,93.7706,1,NASA_COOLR,158.0,8.716974285558816,7
26.1677,94.2442,1,NASA_COOLR,775.0,21.764788176433505,1
27.174,95.8011,1,NASA_COOLR,296.0,0.7850199717165752,0
28.4659,95.86,1,NASA_COOLR,1064.0,22.70368503115872,1
24.7505,93.4221,1,NASA_COOLR,783.0,6.534223462307661,7
25.4477,94.0489,1,NASA_COOLR,1349.0,26.161504294606264,15
26.284,94.5808,1,NASA_COOLR,719.0,18.37806150267973,8
26.149,91.7351,1,NASA_COOLR,52.0,0.12621444990709196,34
25.0672,93.4093,1,NASA_COOLR,460.0,11.076112073124856,6
24.1988,94.1016,1,NASA_COOLR,1381.0,19.433243592680714,3
27.8776,94.25,1,NASA_COOLR,950.0,24.009004212833993,0
26.1475,91.7356,1,NASA_COOLR,53.0,0.1492936104749384,34
24.9037,93.487,1,NASA_COOLR,1241.0,25.75779451992436,9
25.4538,93.9827,1,NASA_COOLR,1775.0,29.075136405857272,11
26.1147,94.3864,1,NASA_COOLR,359.0,4.036270851212997,3
27.3425,88.6236,1,NASA_COOLR,2569.0,36.676432081001174,14
24.5202,92.7239,1,NASA_COOLR,44.0,0.4605609656404501,1
24.9818,93.5142,1,NASA_COOLR,1254.0,10.611455114764402,8
26.1985,91.7998,1,NASA_COOLR,79.0,1.3467811037072015,33
25.6269,94.1139,1,NASA_COOLR,1574.0,5.186738524913387,19
24.4279,94.0564,1,NASA_COOLR,896.0,9.033165072271139,4
26.8727,94.9275,1,NASA_COOLR,134.0,1.2887376592656363,1
27.0011,93.7273,1,NASA_COOLR,106.0,0.7842243958605353,7
23.7327,92.7463,1,NASA_COOLR,836.0,22.442685368405645,12
27.3721,88.708,1,NASA_COOLR,3145.0,21.072261001173302,13
25.203,90.5573,1,NASA_COOLR,158.0,14.286405801425358,1
26.1984,94.8158,1,NASA_COOLR,1889.0,25.6288417719731,5
24.4638,92.4943,1,NASA_COOLR,92.0,5.48439999566398,1
23.75406693,92.74128531,1,NASA_COOLR,961.0,20.273292438925893,12
26.0814,94.803,1,NASA_COOLR,931.0,27.509080859719077,4
25.7902,94.1318,1,NASA_COOLR,1291.0,7.52995676284727,12
24.8961,93.4957,1,NASA_COOLR,1051.0,27.29937630662281,11
27.0377,88.3603,1,NASA_COOLR,2805.0,29.793253510226133,8
